step,eps_ate,pehe,co2_kg
471,0.323545,0.868433,
472,0.208041,1.163740,
473,0.120458,1.026141,
474,0.589416,3.430607,
475,0.665075,5.187258,
476,0.325174,3.736835,
477,0.040448,1.249280,
478,0.097510,1.109460,
479,0.036198,0.784241,
480,0.161368,1.070184,
481,0.585089,2.768024,
482,0.004749,1.471854,
483,0.201736,2.290760,
484,0.249658,3.002607,
485,0.538348,0.971329,
486,0.357118,1.043793,
487,0.098411,0.898442,
488,0.098154,0.632696,
489,0.284460,0.729164,
490,0.066988,1.029413,
491,0.105993,0.601481,
492,0.310895,0.982582,
493,0.173562,1.248465,
494,0.237915,0.991256,
495,0.065803,0.784976,
496,0.104305,0.693847,
497,0.240232,0.930652,
498,0.065067,0.608139,
499,0.096175,1.232646,
500,0.569900,2.061251,
501,0.160973,0.795973,
502,0.168753,0.814652,
503,0.022544,0.649759,
504,0.237487,0.879118,
505,0.093073,0.980106,
506,0.218200,0.665197,
507,0.252571,1.805205,
508,0.088003,0.765640,
509,0.316083,1.047341,
510,0.231304,0.778487,
511,0.075277,0.630696,
512,0.614896,5.146281,
513,0.174697,1.172214,
514,0.052100,1.367778,
515,0.403145,4.798364,
516,0.312819,1.081997,
517,0.130692,5.042865,
518,0.066544,1.033761,
519,0.201221,1.038577,
520,0.175738,0.495715,
521,0.363669,0.662091,
522,0.130415,0.570084,
523,0.120482,1.648801,
524,0.029125,0.629525,
525,0.366347,1.328630,
526,0.209352,0.784204,
527,0.076542,0.680059,
528,0.051601,0.715274,
529,0.266715,0.724490,
530,0.145480,0.592400,
531,0.100147,1.014332,
532,0.265153,0.622139,
533,0.000344,0.580031,
534,0.003588,0.499217,
535,0.132859,0.784644,
536,0.173688,1.388173,
537,0.392524,1.565203,
538,0.019980,0.686254,
539,0.143377,1.030667,
540,0.084665,0.520427,
541,0.416005,0.670085,
542,0.405034,2.552937,
543,0.224839,0.792910,
544,0.215332,0.713990,
545,0.126210,1.095818,
546,0.155368,0.945212,
547,0.336571,0.731089,
548,0.044243,0.651393,
549,0.058523,0.665515,
550,0.168823,0.679013,
551,0.115243,0.597402,
552,0.043846,0.918699,
553,0.413377,0.874528,
554,0.553271,2.495676,
555,0.606795,0.824195,
556,0.314798,0.613045,
557,0.084443,0.549183,
558,0.109623,0.585594,
559,0.125601,0.533812,
560,0.219262,0.859383,
561,0.004202,0.954409,
562,0.367624,0.894233,
563,0.146472,0.753400,
564,0.106074,0.700464,
565,0.396086,1.232509,
566,0.243559,0.685996,
567,0.062932,1.144396,
568,0.507654,0.915962,
569,0.108419,0.595248,
570,0.132866,0.909232,
571,0.106776,0.580080,
572,0.013778,0.453279,
573,0.252315,0.643149,
574,0.045554,0.624422,
575,0.164078,1.733168,
576,0.271511,3.391159,
577,0.276704,0.753740,
578,0.130650,2.166760,
579,0.370506,0.818293,
580,0.137940,0.606028,
581,0.142881,0.737005,
582,0.091831,0.680819,
583,0.005209,1.085407,
584,0.031180,0.535281,
585,0.034191,0.662597,
586,0.005839,0.529841,
587,0.051938,0.750434,
588,0.112083,0.555396,
589,2.019674,19.956621,
590,0.218033,1.306474,
591,0.058161,0.803934,
592,0.177969,0.955829,
593,0.292416,0.624267,
594,0.207947,0.640117,
595,0.079795,1.569878,
596,0.133547,0.572202,
597,0.058847,0.927012,
598,0.167258,0.683345,
599,0.146330,0.864049,
600,0.028030,0.444364,
601,0.675513,2.314379,
602,0.038043,0.872892,
603,0.254438,1.037975,
604,0.181133,0.647258,
605,0.046321,0.814773,
606,0.075420,0.706709,
607,0.006487,0.791640,
608,0.088206,0.694113,
609,0.088185,0.976179,
610,0.231399,0.869769,
611,0.268142,0.688857,
612,0.150906,0.551772,
613,0.349403,0.953910,
614,0.091313,1.405231,
615,0.202915,0.585327,
616,0.097336,0.718856,
617,0.279547,0.931008,
618,0.224215,0.649936,
619,1.171239,7.047654,
620,0.177108,0.699508,
621,0.244493,0.527162,
622,0.342603,3.772368,
623,0.304654,0.663264,
624,0.180500,1.197193,
625,0.374501,0.955939,
626,0.283920,0.973361,
627,0.122341,1.405214,
628,0.242081,0.823811,
629,0.015937,0.608257,
630,0.000174,0.644422,
631,0.134739,1.459949,
632,0.139661,1.060699,
633,0.117442,0.623518,
634,0.444592,1.679865,
635,0.431997,0.980252,
636,0.203348,0.766431,
637,0.105571,1.203310,
638,0.097436,0.708896,
639,0.003765,0.597146,
640,0.059815,0.455739,
641,0.434132,0.802878,
642,0.060220,0.471463,
643,0.764421,1.614105,
644,0.206016,0.964663,
645,0.044876,0.913792,
646,0.409867,1.814124,
647,0.211769,2.713412,
648,0.243421,4.835724,
649,0.202927,0.952990,
650,0.149138,1.321439,
651,0.271297,1.602701,
652,0.990914,4.269992,
653,0.062035,0.763218,
654,0.259242,0.750357,
655,0.045930,0.524831,
656,0.175581,2.266567,
657,0.472401,4.945641,
658,0.339915,1.432796,
659,0.532472,1.530641,
660,0.498613,1.169290,
661,0.144647,2.002069,
662,0.152048,0.898177,
663,0.059680,0.946042,
664,0.231390,0.725741,
665,0.184073,1.606829,
666,0.159976,1.955678,
667,0.286865,0.998345,
668,0.213169,0.686475,
669,0.046152,0.581531,
670,0.047166,0.610868,
671,0.187587,1.061506,
672,0.201619,0.633147,
673,1.245834,9.407935,
674,0.273058,0.887871,
675,0.194773,0.750320,
676,0.402185,1.829600,
677,0.048280,1.192637,
678,0.534428,1.257861,
679,0.223310,3.435772,
680,0.082038,0.742289,
681,0.048707,0.560337,
682,0.228298,1.919892,
683,0.212660,0.864976,
684,1.577391,7.491025,
