rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,mmd_sim_b,mmd_dsim_b,smd_latent_b_sim,smd_latent_b_dsim,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,mmd_sim_s,mmd_dsim_s,smd_latent_s_sim,smd_latent_s_dsim,mse_factual_b,mse_factual_s,ov_sim,ov_dsim,smd_sim,smd_dsim,pehe_b,pehe_s,delta_mmd,delta_pehe
34,0.011351721361279488,0.01126748541801914,0.8675595238095238,2.0330607891082764,0.8999013528846816,0.04871428592995797,0.012252813331091739,0.9563451409339905,0.4507129192352295,0.5794808268547058,0.0012347210413938825,0.8854166666666666,26.020902633666992,0.9086257889817257,0.019549205255648405,0.00195200882782387,0.27857503294944763,0.1316179633140564,265.78131103515625,328.15716552734375,0.8296296296296296,0.8845437616387337,0.6929171681404114,0.40026938915252686,44.253604888916016,314.8616027832031,-0.010032764376625258,270.6079978942871
35,0.007127969525754452,0.013160057207342812,0.8601190476190477,1.8408468961715698,0.806714724601269,0.036126560225448134,0.016257585413828712,0.7425438165664673,0.4622608423233032,0.08305370807647705,0.0017573364305599748,0.8556547619047619,15.564481735229492,0.9646797219937436,0.07449460066119495,0.005784903356266469,0.33534443378448486,0.20193292200565338,332.740478515625,176.58480834960938,0.9037037037037037,0.8584729981378026,0.5131689310073853,0.36274808645248413,50.75769805908203,51.44070816040039,-0.011402720776782838,0.6830101013183594
36,0.027780722826719284,0.025093696185296,0.8690476190476191,1.6655378341674805,0.8637677398366033,0.02225424371756335,0.01479604811719093,0.46778807044029236,0.42724132537841797,1.7394356727600098,0.024765405905755933,0.8407738095238095,13.726937294006348,0.9657869795028989,0.048066841834055074,0.009250556468231586,0.3868970274925232,0.23675784468650818,717.1070556640625,433.6792297363281,0.9925925925925926,0.8361266294227188,0.5313690304756165,0.49457600712776184,106.30572509765625,101.77696990966797,-0.0003282902795400666,-4.528755187988281
37,0.005833001807332039,0.01428106923835637,0.8913690476190477,1.8447742462158203,0.9152113437640513,0.04070917704751509,0.01675753415214698,0.7604184150695801,0.48629871010780334,0.06794377416372299,0.006171726269760924,0.8511904761904762,16.901086807250977,0.9762172999430042,0.0343186646201914,0.006842804110880563,0.4576682448387146,0.16330978274345398,54.71163558959961,39.6914176940918,0.9333333333333333,0.8919925512104283,0.8245269060134888,0.47017210721969604,19.29519271850586,31.198375701904297,-0.008109342968595445,11.903182983398438
38,0.006609306670725346,0.010759509296868752,0.9047619047619048,1.6077717542648315,0.8057101855104896,0.033523557824499894,0.013173760894007125,0.5795877575874329,0.4351864457130432,0.01944512128829956,0.0021204489893646983,0.9047619047619048,13.363737106323242,0.9259787191116197,0.0218950979802649,0.003538802959766718,0.38556456565856934,0.0944226086139679,653.6016845703125,576.76904296875,0.9555555555555556,0.9031657355679702,0.5649330615997314,0.448573499917984,108.2509536743164,104.02299499511719,-0.008639060307504054,-4.227958679199219
39,0.053711552172899246,0.026803762365822714,0.8511904761904762,1.9300631284713745,0.9325329061367111,0.03527384429960223,0.029712977694872023,0.5533138513565063,0.5308483839035034,3.2967042922973633,0.027969031972311154,0.8720238095238095,15.173530578613281,0.9659132875353302,0.018086553643841707,0.033671234011180995,0.25221535563468933,0.40635859966278076,76.59391784667969,17.85519790649414,0.9333333333333333,0.8342644320297952,0.6050089597702026,0.46069708466529846,25.408069610595703,17.65206527709961,0.0011652696064884394,-7.756004333496094
40,0.037459202110767365,0.029170206384777964,0.8541666666666666,1.8964241743087769,0.9055251103769654,0.0189645929311818,0.03074136500573288,0.42029425501823425,0.5668397545814514,2.8018805980682373,0.026708752920319268,0.8556547619047619,15.722207069396973,0.9304948562977101,0.013373684172499845,0.023831173867868927,0.24689440429210663,0.2806347608566284,21.513259887695312,8.421805381774902,0.9851851851851852,0.8249534450651769,0.40565797686576843,0.48815590143203735,11.385292053222656,7.521549224853516,-0.002461453464458696,-3.8637428283691406
41,0.03830143064260483,0.029736686403467827,0.8720238095238095,1.707716464996338,0.8458043453944221,0.02483217841769414,0.034103912175524664,0.4644785523414612,0.5438077449798584,0.8141948580741882,0.027308129261982783,0.8809523809523809,8.65909194946289,0.9200051024382635,0.018033192949193033,0.03331945609812681,0.18214388191699982,0.4750826060771942,12.626520156860352,9.678437232971191,0.9777777777777777,0.8491620111731844,0.4089648723602295,0.4427964389324188,5.587960243225098,4.805724143981934,-0.0024285571414850438,-0.7822360992431641
42,0.003914040978997946,0.022632829154289547,0.8526785714285714,0.5461238622665405,0.2803314305716624,0.04946579118178729,0.02295296827799187,0.7378407716751099,0.5364646911621094,0.0628524050116539,0.014412826107539134,0.8601190476190477,4.858481407165527,0.9147901203961832,0.012007334152179028,0.018980402208117808,0.20913103222846985,0.40324994921684265,38.6108512878418,38.61872100830078,0.7111111111111111,0.8938547486033519,0.8178305625915527,0.453836590051651,9.178683280944824,9.948383331298828,-0.008220003046750413,0.7697000503540039
43,0.04611366242170334,0.0328522200669199,0.8497023809523809,1.5748341083526611,0.776362673404412,0.0213251031197641,0.032333887551710405,0.5794183015823364,0.5601481795310974,0.5918726325035095,0.03195964490130998,0.8467261904761905,5.720512866973877,0.928984024573933,0.00678193575228081,0.02441778763699798,0.2660776674747467,0.3398386836051941,143.98158264160156,115.58746337890625,0.9777777777777777,0.819366852886406,0.6258150935173035,0.47402632236480713,10.381489753723145,8.627671241760254,-0.0008925751656099212,-1.7538185119628906
