rep,lin_mmd_b,rbf_mmd_b,knn_overlap_b,tail_ipm_b,rho_b,rbf_mmd_g0_b,rbf_mmd_g1_b,rbf_mmd_local_b,lin_mmd_s,rbf_mmd_s,knn_overlap_s,tail_ipm_s,rho_s,rbf_mmd_g0_s,rbf_mmd_g1_s,rbf_mmd_local_s
33,0.008435720577836037,0.011867275216833617,0.8675595238095238,1.7512118816375732,0.8927391502667545,0.05008723412175364,0.016856829453055444,0.023532580390963564,0.04719803109765053,0.0035395990919655507,0.8318452380952381,9.29522705078125,0.9222243979248684,0.04363279259409858,0.005126509729009965,0.01286214691172866
34,0.011351721361279488,0.01126748541801914,0.8675595238095238,2.0330607891082764,0.8999013565554816,0.04871428592995797,0.012252813331091739,0.01957766273711397,0.5794808268547058,0.0012347210413938825,0.8854166666666666,26.020902633666992,0.9086257889817257,0.014947946309158744,0.0017749827082031988,0.004421337003038019
35,0.007127969525754452,0.013160057207342812,0.8601190476190477,1.8408468961715698,0.8067147412100821,0.036126560225448134,0.016257585413828712,0.0202491205322344,0.08305370807647705,0.0017573364305599748,0.8556547619047619,15.564481735229492,0.9646797219937436,0.061084174235276456,0.005344413995372221,0.01654213368642441
36,0.027780722826719284,0.025093696185296,0.8690476190476191,1.6655378341674805,0.8637677303463075,0.02225424371756335,0.01479604811719093,0.01629434634048003,1.7394356727600098,0.024765405905755933,0.8407738095238095,13.726937294006348,0.9657869795028989,0.06816897603260175,0.01246315834758871,0.023654059221810082
37,0.005833001807332039,0.01428106923835637,0.8913690476190477,1.8447742462158203,0.9152112993110169,0.04070917704751509,0.01675753415214698,0.021569248126662895,0.06794377416372299,0.006171726269760924,0.8511904761904762,16.901086807250977,0.9762172999430042,0.030525489558141605,0.007926236709643542,0.01246626518367217
38,0.006609306670725346,0.010759509296868752,0.9047619047619048,1.6077717542648315,0.8057102116565739,0.033523557824499894,0.013173760894007125,0.01726188974165076,0.01944512128829956,0.0021204489893646983,0.9047619047619048,13.363737106323242,0.9259787191116197,0.03090996229198284,0.00345819137538228,0.008973056068449357
39,0.053711552172899246,0.026803762365822714,0.8511904761904762,1.9300631284713745,0.9325329120725103,0.03527384429960223,0.029712977694872023,0.030830116075286577,3.2967042922973633,0.027969031972311154,0.8720238095238095,15.173530578613281,0.9659132875353302,0.029363663010512076,0.032398353512771316,0.031788705867228165
40,0.037459202110767365,0.029170206384777964,0.8541666666666666,1.8964241743087769,0.9055250956550734,0.0189645929311818,0.03074136500573288,0.0283754956157561,2.8018805980682373,0.026708752920319268,0.8556547619047619,15.722207069396973,0.9304948562977101,0.012052580287094883,0.024264907516089562,0.02181153820669331
41,0.03830143064260483,0.029736686403467827,0.8720238095238095,1.707716464996338,0.8458043548271722,0.02483217841769414,0.034103912175524664,0.032241287090246214,0.8141948580741882,0.027308129261982783,0.8809523809523809,8.65909194946289,0.9200051024382635,0.024673945007421816,0.029844537939275106,0.028805802752072434
42,0.003914040978997946,0.022632829154289547,0.8526785714285714,0.5461238622665405,0.28033177379420704,0.04946579118178729,0.02295296827799187,0.028279205022057913,0.0628524050116539,0.014412826107539134,0.8601190476190477,4.858481407165527,0.9147901203961832,0.028920682726960467,0.02076411909766762,0.02240271446962377
43,0.04611366242170334,0.0328522200669199,0.8497023809523809,1.5748341083526611,0.7763626488706837,0.0213251031197641,0.032333887551710405,0.030122301393506905,0.5918726325035095,0.03195964490130998,0.8467261904761905,5.720512866973877,0.928984024573933,0.00667908178418164,0.025133390969991676,0.021426052071056623
44,0.008808030746877193,0.014524048330177286,0.875,1.538496732711792,0.8266623772740185,0.04027859456412086,0.01932157901088527,0.023531693742562063,0.09279930591583252,0.021137492770451294,0.8244047619047619,5.191382884979248,0.9848203317532306,0.037313524628791006,0.027351446998996387,0.029352757237124768
45,0.013326536864042282,0.01951668795228867,0.8973214285714286,1.6629953384399414,0.8755913368565853,0.0504800076817562,0.01939993154855313,0.025643696843169823,0.24074392020702362,0.0120188998985169,0.8571428571428571,7.435210704803467,0.9718150608740505,0.02790929919545293,0.009663382163209278,0.013328856567008227
46,0.03556349501013756,0.026722075934108247,0.8764880952380952,1.8095155954360962,0.9023017562348996,0.024927881669461027,0.02926861873799691,0.02839659566619283,1.1548223495483398,0.021101665681991455,0.8422619047619048,10.496779441833496,0.9549055321363031,0.012820091149187474,0.01662446902524095,0.015860196684069492
47,0.02574513852596283,0.02131132470799657,0.8675595238095238,1.8479714393615723,0.9265542716801128,0.02578077845070237,0.024991096720959338,0.02514973813988093,0.7355254292488098,0.023988160312712004,0.8065476190476191,10.595009803771973,0.9387517050767089,0.024300555771980314,0.032540592112213274,0.030885227668862904
48,0.009050454944372177,0.016175277191314508,0.8690476190476191,1.7279938459396362,0.8655472411089836,0.022614957769505173,0.025607770341003144,0.025006535672621857,0.08676143735647202,0.022359183713851816,0.8050595238095238,6.907563209533691,0.963980880345945,0.03427637217652746,0.03789887393626412,0.0371711392077456
49,0.007878078147768974,0.019172568058424377,0.8348214285714286,1.2922980785369873,0.8331390263557245,0.05667594857618541,0.022588150003315044,0.029436145252329175,0.03524097055196762,0.009813172893938127,0.8214285714285714,5.877265453338623,0.9913908328105842,0.06834121361524914,0.015301772043594397,0.02595701700218575
50,0.006093387026339769,0.009310135956460353,0.8883928571428571,1.8034478425979614,0.8914538166042295,0.031045530573399538,0.013461953286028172,0.016994368366080453,0.0513395294547081,0.004731960733585061,0.8199404761904762,9.088408470153809,0.906279925742703,0.08585238085005764,0.00820658008902575,0.02380506684905448
51,0.0225656908005476,0.023113256188753928,0.8288690476190477,1.5725023746490479,0.8406417674650497,0.03215034358091151,0.028149537642498723,0.02895327097834058,0.3214254677295685,0.0232259330202369,0.8303571428571429,6.883502960205078,0.9057193239244954,0.02175852549942825,0.034749664812245284,0.03213983771815258
