replica,PEHE,ATE_error
444,0.6284891,0.1728487
445,0.75606495,0.23911858
446,0.7373875,0.10160208
447,0.9464791,0.043553352
448,0.5274751,0.038642883
449,0.7912728,0.23104715
450,7.494381,2.341044
451,0.8849,0.01977396
452,0.60806954,0.03961277
453,1.046959,0.07534361
454,0.35877004,0.19341278
455,0.6849741,0.0875411
456,0.75459045,0.2688043
457,0.5233055,0.03638172
458,0.6508655,0.053343773
459,3.0530396,1.9310288
460,0.66002434,0.07015371
461,0.92639136,0.19261122
462,1.2624042,0.23891068
463,0.6807127,0.06741285
464,0.5665936,0.12712407
465,0.53599566,0.011247635
466,1.0086101,0.17622519
467,0.60538363,0.08094883
468,0.6119726,0.12710285
469,1.744678,0.041917324
470,0.6278005,0.016095638
471,0.6476636,0.19802451
472,8.011292,1.9121661
473,0.6486572,0.034059525
474,2.4931583,0.12595177
475,2.43785,0.43730545
476,4.173819,0.39156914
477,0.72984225,0.11480856
478,1.0439333,0.1398511
479,0.5809917,0.05430746
480,0.89725995,0.10937166
481,19.981308,1.3348604
482,0.7095708,0.011674404
483,1.4603641,0.003888607
484,0.97937965,0.057112217
485,0.6009775,0.123860836
486,0.6650996,0.13333988
487,0.6730444,0.2999854
488,0.58256894,0.084560156
489,0.45137104,0.029453993
490,0.8313371,0.024912834
491,0.18315019,0.12888479
492,0.6416372,0.107058525
493,0.80903834,0.19513035
494,0.6265287,0.022313118
495,0.7433044,0.079753876
496,0.5191055,0.09142876
497,0.65238297,0.20863652
498,0.46414605,0.20254946
499,0.8310013,0.17458987
500,1.1312605,0.02736044
501,0.2248689,0.116859436
502,0.5827513,0.012016773
503,0.8121676,0.14187622
504,0.6050665,0.03236246
505,0.57348424,0.081211805
506,0.41402853,0.14448452
507,1.4580303,0.09525585
508,0.5132473,0.07797837
509,0.8657547,0.048691273
510,0.6824762,0.028654575
511,0.48305878,0.051671505
512,17.531406,2.8153133
513,0.9792407,0.027000904
514,0.8966408,0.10286021
515,3.1802256,0.12831783
516,0.6874433,0.06201291
517,3.0518894,0.006287575
518,0.5831047,0.029214859
519,0.91111946,0.019989014
520,0.29429445,0.28875732
521,0.99901295,0.17959833
522,0.56255764,0.006907463
523,1.2631525,0.19774628
524,0.4878677,0.045404196
525,1.4423035,0.015065193
526,0.55342716,0.06493926
527,0.6251876,0.1237061
528,0.7102185,0.035827875
529,0.5457554,0.11818886
530,0.9900126,0.0066099167
531,0.68884605,0.11564255
532,0.5381086,7.724762e-05
533,0.48130903,0.03343296
534,0.47443193,0.19435263
535,0.67703974,0.164006
536,1.1406068,0.14817667
537,1.5755116,0.026675701
538,0.6509885,0.065550804
539,0.97412217,0.20487309
540,0.6826434,0.009286165
541,0.69934076,0.0068986416
542,20.497797,3.9955711
543,0.44081545,0.25913334
544,0.5298859,0.06620216
545,1.35343,0.030500889
546,0.7519995,0.17745113
547,0.5252803,0.27431154
548,0.6744037,0.053271294
549,0.5446818,0.07459545
550,0.7626249,0.047602177
551,0.2271627,0.17422485
552,1.0876622,0.10161209
553,0.6273421,0.123523235
554,2.6247532,0.17264795
555,0.23828234,0.19661236
556,2.0063522,0.2581482
557,0.9227204,0.037312508
558,0.29878414,0.13196659
559,0.63777256,0.20963717
560,0.7669432,0.16734147
561,0.7340407,0.11757636
562,0.889276,0.2160492
563,0.8578636,0.2558279
564,0.7207723,0.18490815
565,0.83398426,0.23056126
566,0.70272845,0.2533946
567,0.6803931,0.025927067
568,0.7087189,0.014961958
569,0.54245365,0.014951229
570,1.1643851,0.03253913
571,0.63298154,0.15553522
572,0.3529281,0.095047
573,0.52502924,0.22487521
574,0.38959676,0.09470463
575,2.084303,0.08985758
576,25.921318,2.935875
577,0.22512132,0.017197847
578,1.0309561,0.19148636
579,0.5847028,0.059389114
580,0.5081705,0.063568115
581,0.84352756,0.21675205
582,0.5547566,0.106753826
583,0.9804555,0.047250748
584,0.53556985,0.15776443
585,0.7098698,0.13121939
586,0.5559301,0.02947092
587,0.6898061,0.1334796
588,0.40412933,0.0020432472
589,5.765339,0.3309374
590,0.6675461,0.09111166
591,0.7216144,0.19929147
592,0.6967919,0.045464516
593,1.0711695,0.004114151
594,0.48256993,0.042497158
595,1.3026724,0.010561943
596,0.66716796,0.08155441
597,0.75052774,0.07805467
598,0.59175676,0.08068943
599,0.64130294,0.14584446
600,0.46590078,0.049426794
601,1.5866671,0.16398573
602,0.80930316,0.046097755
603,4.381185,0.82793045
604,0.60746336,0.07198405
605,0.58945286,0.10942578
606,0.594166,0.05601549
607,0.56932175,0.15534258
608,0.62743175,0.19031978
609,0.91752964,0.11946106
610,0.67813224,0.21917057
611,0.55300456,0.06331587
612,0.5383737,0.027629852
613,0.8463896,0.043305874
614,0.79556364,0.058320522
615,0.6537589,0.16810846
616,0.52146816,0.052809715
617,0.75790447,0.15991259
618,0.550827,0.111774445
619,2.7280385,0.0008263588
620,0.58098495,0.23657274
621,0.452515,0.19566965
622,1.1483313,0.0020639896
623,0.6644753,0.24358845
624,1.3665514,0.11494446
625,0.6866642,0.22429991
626,0.77453667,0.19077635
627,1.1829385,0.08260083
628,0.8742077,0.020825386
629,0.51467645,0.042263985
630,0.57389295,0.08443451
631,0.98742074,0.25990915
632,0.6604592,0.25854874
633,0.60325295,0.030978918
634,1.2190686,0.1097064
635,0.769398,0.093153715
636,0.78815484,0.12056947
637,10.016227,1.6186604
638,0.6196832,0.05505562
639,0.541428,0.002266407
640,0.49943516,0.1641264
641,0.5953972,0.26090717
642,0.30562606,0.027388096
643,1.3906273,0.04232788
644,0.8301477,0.02071309
645,0.7827345,0.2346909
646,1.0369196,0.10486555
647,1.5546242,0.21384501
648,33.305965,0.54319715
649,0.5367698,0.085843086
650,1.3963269,0.097607136
651,1.2972127,0.039597034
652,3.153329,0.08599758
